id_donatur,tanggal_donasi,kategori_donasi,nominal_donasi,metode_pembayaran,donasi_rutin,sumber_informasi,alasan_donasi,pernah_donasi
D0031,2026-03-28,Rumah Ibadah,250000,OVO,Ya,WhatsApp,Keagamaan,Tidak
D0032,2026-05-02,Rumah Ibadah,20000,OVO,Ya,Instagram,Kepedulian Lingkungan,Ya
D0033,2026-03-15,Rumah Ibadah,25000,OVO,Tidak,WhatsApp,Keagamaan,Tidak
D0034,2026-03-11,Kesehatan,150000,QRIS,Tidak,TikTok,Pendidikan,Tidak
D0035,2026-04-27,Panti Asuhan,25000,Transfer Bank,Tidak,Facebook,Kemanusiaan,Ya
D0036,2026-04-13,Bencana Alam,10000,DANA,Tidak,Website,Bencana,Ya
D0037,2026-03-11,Pendidikan,25000,QRIS,Ya,Email,Keagamaan,Tidak
D0038,2026-03-19,Rumah Ibadah,500000,DANA,Ya,Website,Kemanusiaan,Tidak
D0039,2026-05-27,Lingkungan,75000,Transfer Bank,Tidak,Facebook,Sosial,Tidak
D0040,2026-03-20,Anak Yatim,200000,GoPay,Ya,Instagram,Pendidikan,Ya
D0041,2026-03-13,Rumah Ibadah,250000,GoPay,Ya,TikTok,Kemanusiaan,Ya
D0042,2026-04-20,Anak Yatim,25000,OVO,Tidak,Website,Kepedulian Lingkungan,Ya
D0043,2026-05-28,Anak Yatim,20000,Transfer Bank,Tidak,Instagram,Kemanusiaan,Ya
D0044,2026-04-07,Anak Yatim,500000,Transfer Bank,Tidak,Facebook,Kepedulian Lingkungan,Tidak
D0045,2026-05-07,Panti Asuhan,75000,QRIS,Ya,Email,Pendidikan,Tidak
D0046,2026-03-09,Bencana Alam,100000,Transfer Bank,Tidak,Facebook,Kepedulian Lingkungan,Tidak
D0047,2026-05-13,Bantuan Sosial,250000,QRIS,Ya,Instagram,Kepedulian Lingkungan,Ya
D0048,2026-05-12,Bencana Alam,100000,DANA,Ya,WhatsApp,Keagamaan,Ya
D0049,2026-04-12,Lingkungan,10000,GoPay,Ya,Email,Keagamaan,Ya
D0050,2026-04-18,Bantuan Sosial,500000,ShopeePay,Ya,Facebook,Keagamaan,Ya
D0051,2026-04-25,Bencana Alam,25000,ShopeePay,Tidak,Teman/Keluarga,Pendidikan,Ya
D0052,2026-04-07,Kesehatan,20000,OVO,Ya,Teman/Keluarga,Pendidikan,Ya
D0053,2026-03-29,Panti Asuhan,100000,GoPay,Ya,Facebook,Kemanusiaan,Ya
D0054,2026-04-24,Lingkungan,75000,QRIS,Tidak,TikTok,Kepedulian Lingkungan,Tidak
D0055,2026-05-29,Lingkungan,10000,QRIS,Tidak,Facebook,Bencana,Tidak
D0056,2026-03-08,Pendidikan,500000,OVO,Tidak,Email,Sosial,Tidak
D0057,2026-05-20,Pendidikan,150000,DANA,Ya,TikTok,Kemanusiaan,Tidak
D0058,2026-03-04,Rumah Ibadah,100000,OVO,Ya,Email,Sosial,Tidak
D0059,2026-05-27,Pendidikan,75000,DANA,Tidak,Email,Pendidikan,Tidak
D0060,2026-04-24,Anak Yatim,250000,Transfer Bank,Ya,WhatsApp,Kepedulian Lingkungan,Tidak
D0061,2026-05-29,Kesehatan,500000,DANA,Tidak,WhatsApp,Bencana,Ya
D0062,2026-04-11,Anak Yatim,50000,OVO,Tidak,WhatsApp,Pendidikan,Tidak
D0063,2026-05-29,Rumah Ibadah,250000,OVO,Ya,Email,Kemanusiaan,Tidak
D0064,2026-05-08,Lingkungan,20000,Transfer Bank,Tidak,Facebook,Keagamaan,Ya
D0065,2026-03-07,Bencana Alam,50000,OVO,Ya,WhatsApp,Pendidikan,Ya
D0066,2026-06-01,Bantuan Sosial,200000,OVO,Ya,Facebook,Kepedulian Lingkungan,Ya
D0067,2026-03-17,Bantuan Sosial,50000,Transfer Bank,Tidak,Instagram,Bencana,Ya
D0068,2026-03-19,Panti Asuhan,25000,OVO,Tidak,Teman/Keluarga,Pendidikan,Tidak
D0069,2026-05-13,Panti Asuhan,25000,ShopeePay,Tidak,WhatsApp,Sosial,Ya
D0070,2026-05-24,Anak Yatim,250000,OVO,Ya,TikTok,Pendidikan,Ya
D0071,2026-04-09,Rumah Ibadah,75000,GoPay,Tidak,Website,Kemanusiaan,Ya
D0072,2026-03-23,Rumah Ibadah,150000,ShopeePay,Ya,Email,Keagamaan,Ya
D0073,2026-04-26,Bantuan Sosial,100000,DANA,Tidak,WhatsApp,Kemanusiaan,Ya
D0074,2026-04-26,Bantuan Sosial,500000,ShopeePay,Ya,Teman/Keluarga,Bencana,Tidak
D0075,2026-05-04,Bencana Alam,100000,GoPay,Tidak,Teman/Keluarga,Pendidikan,Ya
D0076,2026-05-05,Rumah Ibadah,75000,OVO,Tidak,Instagram,Pendidikan,Tidak
D0077,2026-05-28,Bantuan Sosial,25000,OVO,Ya,Website,Bencana,Ya
D0078,2026-04-23,Bencana Alam,20000,ShopeePay,Tidak,Facebook,Pendidikan,Ya
D0079,2026-03-10,Anak Yatim,150000,GoPay,Ya,WhatsApp,Sosial,Tidak
D0080,2026-04-21,Anak Yatim,150000,GoPay,Ya,WhatsApp,Kemanusiaan,Ya
D0081,2026-04-17,Rumah Ibadah,20000,ShopeePay,Ya,Teman/Keluarga,Kemanusiaan,Ya
D0082,2026-03-29,Bencana Alam,500000,Transfer Bank,Ya,Facebook,Pendidikan,Ya
D0083,2026-05-15,Rumah Ibadah,200000,ShopeePay,Tidak,Teman/Keluarga,Sosial,Ya
D0084,2026-05-20,Pendidikan,25000,GoPay,Ya,Website,Kemanusiaan,Tidak
D0085,2026-05-16,Bantuan Sosial,150000,ShopeePay,Ya,Instagram,Bencana,Ya
D0086,2026-03-17,Anak Yatim,500000,QRIS,Ya,TikTok,Bencana,Tidak
D0087,2026-05-27,Lingkungan,20000,DANA,Tidak,Instagram,Pendidikan,Tidak
D0088,2026-03-17,Bantuan Sosial,100000,ShopeePay,Tidak,Email,Keagamaan,Tidak
D0089,2026-03-26,Anak Yatim,500000,DANA,Tidak,WhatsApp,Pendidikan,Tidak
D0090,2026-04-14,Rumah Ibadah,20000,GoPay,Tidak,Facebook,Pendidikan,Tidak
D0091,2026-04-16,Bencana Alam,200000,GoPay,Ya,WhatsApp,Keagamaan,Tidak
D0092,2026-04-06,Lingkungan,75000,DANA,Tidak,Website,Kemanusiaan,Ya
D0093,2026-03-14,Rumah Ibadah,150000,OVO,Ya,Email,Pendidikan,Tidak
D0094,2026-04-30,Bencana Alam,20000,GoPay,Ya,WhatsApp,Kepedulian Lingkungan,Ya
D0095,2026-04-12,Lingkungan,200000,DANA,Tidak,WhatsApp,Kepedulian Lingkungan,Tidak
D0096,2026-04-18,Panti Asuhan,75000,GoPay,Tidak,Facebook,Kemanusiaan,Ya
D0097,2026-04-13,Pendidikan,250000,ShopeePay,Ya,Facebook,Keagamaan,Tidak
D0098,2026-04-08,Anak Yatim,20000,Transfer Bank,Tidak,Facebook,Sosial,Ya
D0099,2026-04-11,Bencana Alam,250000,Transfer Bank,Tidak,Instagram,Kemanusiaan,Tidak
D0100,2026-06-01,Kesehatan,200000,QRIS,Ya,Website,Sosial,Tidak
D0101,2026-05-04,Panti Asuhan,100000,Transfer Bank,Ya,TikTok,Pendidikan,Ya
D0102,2026-03-12,Bantuan Sosial,200000,QRIS,Ya,Facebook,Keagamaan,Tidak
D0103,2026-03-14,Rumah Ibadah,20000,DANA,Tidak,Website,Bencana,Ya
D0104,2026-05-09,Bantuan Sosial,200000,OVO,Tidak,Teman/Keluarga,Bencana,Tidak
D0105,2026-04-12,Bencana Alam,500000,ShopeePay,Ya,Teman/Keluarga,Keagamaan,Ya
D0106,2026-04-06,Pendidikan,25000,Transfer Bank,Ya,Website,Kemanusiaan,Ya
D0107,2026-03-04,Bantuan Sosial,200000,ShopeePay,Tidak,TikTok,Kemanusiaan,Ya
D0108,2026-04-09,Anak Yatim,200000,QRIS,Ya,TikTok,Kepedulian Lingkungan,Ya
D0109,2026-04-27,Pendidikan,250000,Transfer Bank,Ya,TikTok,Keagamaan,Ya
D0110,2026-03-11,Kesehatan,75000,DANA,Tidak,WhatsApp,Kemanusiaan,Tidak
D0111,2026-05-31,Anak Yatim,150000,GoPay,Tidak,WhatsApp,Kemanusiaan,Ya
D0112,2026-04-28,Lingkungan,500000,GoPay,Ya,Instagram,Keagamaan,Ya
D0113,2026-05-29,Anak Yatim,500000,QRIS,Ya,WhatsApp,Bencana,Tidak
D0114,2026-04-08,Kesehatan,500000,OVO,Tidak,Instagram,Pendidikan,Tidak
D0115,2026-04-25,Lingkungan,100000,ShopeePay,Ya,Teman/Keluarga,Keagamaan,Tidak
D0116,2026-04-25,Panti Asuhan,75000,ShopeePay,Tidak,Teman/Keluarga,Bencana,Ya
D0117,2026-05-01,Pendidikan,100000,GoPay,Tidak,Instagram,Pendidikan,Ya
D0118,2026-05-27,Panti Asuhan,150000,QRIS,Ya,Website,Sosial,Tidak
D0119,2026-05-23,Panti Asuhan,10000,Transfer Bank,Tidak,Website,Keagamaan,Tidak
D0120,2026-04-29,Panti Asuhan,20000,QRIS,Ya,Email,Keagamaan,Tidak
D0121,2026-05-13,Bencana Alam,250000,OVO,Ya,Facebook,Kemanusiaan,Tidak
D0122,2026-03-19,Kesehatan,200000,ShopeePay,Tidak,Website,Kepedulian Lingkungan,Tidak
D0123,2026-04-26,Panti Asuhan,200000,Transfer Bank,Tidak,Website,Keagamaan,Tidak
D0124,2026-03-28,Kesehatan,20000,GoPay,Tidak,TikTok,Bencana,Tidak
D0125,2026-03-04,Anak Yatim,75000,DANA,Tidak,Teman/Keluarga,Keagamaan,Tidak
D0126,2026-05-11,Panti Asuhan,100000,GoPay,Tidak,WhatsApp,Sosial,Ya
D0127,2026-06-01,Rumah Ibadah,500000,OVO,Ya,Teman/Keluarga,Pendidikan,Ya
D0128,2026-04-13,Panti Asuhan,150000,OVO,Ya,WhatsApp,Kemanusiaan,Ya
D0129,2026-05-07,Lingkungan,20000,OVO,Ya,Website,Pendidikan,Ya
D0130,2026-03-22,Bantuan Sosial,25000,QRIS,Tidak,Teman/Keluarga,Sosial,Tidak
D0131,2026-05-22,Bantuan Sosial,20000,GoPay,Tidak,TikTok,Kepedulian Lingkungan,Tidak
D0132,2026-05-12,Bencana Alam,500000,QRIS,Ya,Email,Kepedulian Lingkungan,Tidak
D0133,2026-04-02,Pendidikan,150000,QRIS,Ya,WhatsApp,Keagamaan,Tidak
D0134,2026-03-07,Bencana Alam,100000,QRIS,Tidak,TikTok,Sosial,Tidak
D0135,2026-03-22,Rumah Ibadah,250000,OVO,Ya,Facebook,Keagamaan,Ya
D0136,2026-05-21,Bantuan Sosial,500000,ShopeePay,Ya,WhatsApp,Bencana,Ya
D0137,2026-04-02,Panti Asuhan,75000,OVO,Tidak,Email,Kemanusiaan,Tidak
D0138,2026-04-09,Kesehatan,20000,OVO,Tidak,Website,Sosial,Tidak
D0139,2026-05-31,Anak Yatim,200000,GoPay,Ya,WhatsApp,Pendidikan,Ya
D0140,2026-04-03,Bantuan Sosial,500000,GoPay,Tidak,Email,Sosial,Ya
D0141,2026-05-27,Bantuan Sosial,75000,QRIS,Ya,Website,Kepedulian Lingkungan,Tidak
D0142,2026-04-09,Rumah Ibadah,500000,GoPay,Ya,Email,Keagamaan,Tidak
D0143,2026-05-29,Kesehatan,20000,ShopeePay,Ya,TikTok,Pendidikan,Ya
D0144,2026-05-17,Lingkungan,25000,QRIS,Tidak,TikTok,Kepedulian Lingkungan,Tidak
D0145,2026-03-26,Rumah Ibadah,25000,DANA,Tidak,Website,Bencana,Tidak
D0146,2026-03-25,Anak Yatim,200000,GoPay,Tidak,Teman/Keluarga,Kemanusiaan,Tidak
D0147,2026-03-13,Kesehatan,50000,ShopeePay,Tidak,Teman/Keluarga,Bencana,Tidak
D0148,2026-03-15,Bantuan Sosial,10000,GoPay,Ya,WhatsApp,Sosial,Tidak
D0149,2026-05-17,Bantuan Sosial,100000,QRIS,Ya,WhatsApp,Kemanusiaan,Tidak
D0150,2026-05-21,Rumah Ibadah,20000,ShopeePay,Tidak,Email,Sosial,Tidak
D0151,2026-03-18,Kesehatan,10000,QRIS,Tidak,WhatsApp,Kemanusiaan,Ya
D0152,2026-04-03,Kesehatan,150000,OVO,Tidak,Email,Kepedulian Lingkungan,Tidak
D0153,2026-05-18,Kesehatan,150000,ShopeePay,Ya,Teman/Keluarga,Pendidikan,Tidak
D0154,2026-04-08,Bencana Alam,100000,Transfer Bank,Tidak,WhatsApp,Keagamaan,Tidak
D0155,2026-03-16,Lingkungan,250000,ShopeePay,Tidak,Instagram,Pendidikan,Tidak
D0156,2026-03-28,Pendidikan,200000,QRIS,Ya,Email,Kepedulian Lingkungan,Ya
D0157,2026-03-10,Lingkungan,50000,Transfer Bank,Ya,Instagram,Bencana,Ya
D0158,2026-05-18,Rumah Ibadah,50000,GoPay,Ya,Teman/Keluarga,Bencana,Ya
D0159,2026-04-08,Kesehatan,25000,DANA,Tidak,Teman/Keluarga,Keagamaan,Ya
D0160,2026-05-27,Bencana Alam,25000,QRIS,Tidak,Teman/Keluarga,Keagamaan,Tidak
D0161,2026-03-06,Kesehatan,75000,QRIS,Ya,Email,Pendidikan,Ya
D0162,2026-03-12,Panti Asuhan,200000,GoPay,Ya,WhatsApp,Bencana,Ya
D0163,2026-05-21,Bencana Alam,250000,GoPay,Tidak,Email,Kemanusiaan,Ya
D0164,2026-05-04,Bantuan Sosial,150000,ShopeePay,Ya,WhatsApp,Kepedulian Lingkungan,Tidak
D0165,2026-03-13,Pendidikan,100000,DANA,Ya,Instagram,Keagamaan,Tidak
D0166,2026-05-22,Lingkungan,150000,DANA,Tidak,WhatsApp,Bencana,Tidak
D0167,2026-03-16,Pendidikan,250000,ShopeePay,Ya,WhatsApp,Pendidikan,Ya
D0168,2026-04-25,Lingkungan,200000,OVO,Tidak,Email,Kemanusiaan,Tidak
D0169,2026-04-27,Lingkungan,75000,GoPay,Ya,Email,Pendidikan,Ya
D0170,2026-03-15,Pendidikan,20000,OVO,Ya,Email,Kepedulian Lingkungan,Tidak
D0171,2026-03-20,Bencana Alam,500000,DANA,Tidak,Email,Kemanusiaan,Tidak
D0172,2026-04-18,Bantuan Sosial,10000,GoPay,Tidak,TikTok,Kemanusiaan,Ya
D0173,2026-03-23,Panti Asuhan,50000,QRIS,Tidak,Teman/Keluarga,Bencana,Tidak
D0174,2026-03-18,Anak Yatim,500000,Transfer Bank,Tidak,Teman/Keluarga,Bencana,Ya
D0175,2026-05-20,Anak Yatim,10000,Transfer Bank,Tidak,Email,Sosial,Tidak
D0176,2026-04-17,Bencana Alam,25000,Transfer Bank,Tidak,Instagram,Keagamaan,Ya
D0177,2026-03-15,Rumah Ibadah,150000,OVO,Tidak,TikTok,Keagamaan,Tidak
D0178,2026-04-12,Lingkungan,500000,DANA,Ya,Instagram,Keagamaan,Ya
D0179,2026-05-22,Bencana Alam,20000,GoPay,Tidak,Email,Pendidikan,Tidak
D0180,2026-05-20,Panti Asuhan,150000,GoPay,Ya,Teman/Keluarga,Bencana,Ya
D0181,2026-04-17,Bantuan Sosial,20000,GoPay,Tidak,Website,Kepedulian Lingkungan,Tidak
D0182,2026-03-09,Rumah Ibadah,150000,DANA,Ya,Instagram,Keagamaan,Tidak
D0183,2026-03-31,Kesehatan,75000,GoPay,Tidak,Instagram,Kemanusiaan,Tidak
D0184,2026-04-28,Kesehatan,25000,OVO,Ya,Website,Bencana,Tidak
D0185,2026-03-13,Bantuan Sosial,10000,OVO,Ya,WhatsApp,Kemanusiaan,Tidak
D0186,2026-05-16,Bantuan Sosial,500000,OVO,Tidak,TikTok,Kemanusiaan,Tidak
D0187,2026-03-06,Lingkungan,25000,DANA,Tidak,Teman/Keluarga,Kepedulian Lingkungan,Tidak
D0188,2026-03-15,Bantuan Sosial,20000,Transfer Bank,Tidak,Website,Pendidikan,Ya
D0189,2026-04-23,Anak Yatim,100000,Transfer Bank,Tidak,Teman/Keluarga,Keagamaan,Ya
D0190,2026-05-08,Pendidikan,250000,DANA,Ya,Teman/Keluarga,Sosial,Tidak
D0191,2026-05-25,Kesehatan,50000,QRIS,Ya,TikTok,Keagamaan,Ya
D0192,2026-05-20,Kesehatan,20000,Transfer Bank,Tidak,WhatsApp,Bencana,Tidak
D0193,2026-05-30,Lingkungan,100000,Transfer Bank,Tidak,Instagram,Pendidikan,Tidak
D0194,2026-05-23,Anak Yatim,75000,DANA,Ya,TikTok,Bencana,Ya
D0195,2026-04-12,Panti Asuhan,200000,QRIS,Ya,TikTok,Sosial,Ya
D0196,2026-05-25,Pendidikan,500000,DANA,Tidak,WhatsApp,Bencana,Ya
D0197,2026-04-30,Rumah Ibadah,100000,DANA,Tidak,Website,Keagamaan,Ya
D0198,2026-04-30,Pendidikan,100000,ShopeePay,Ya,Website,Kepedulian Lingkungan,Ya
D0199,2026-03-09,Rumah Ibadah,200000,OVO,Ya,TikTok,Sosial,Tidak
D0200,2026-04-22,Bantuan Sosial,100000,ShopeePay,Ya,Teman/Keluarga,Kepedulian Lingkungan,Tidak
D0201,2026-03-12,Lingkungan,20000,DANA,Tidak,TikTok,Sosial,Ya
D0202,2026-04-15,Pendidikan,500000,ShopeePay,Ya,TikTok,Sosial,Tidak
D0203,2026-03-20,Pendidikan,75000,DANA,Tidak,Email,Sosial,Ya
D0204,2026-05-28,Pendidikan,150000,DANA,Tidak,Instagram,Sosial,Tidak
D0205,2026-03-27,Rumah Ibadah,100000,OVO,Ya,Facebook,Keagamaan,Ya
D0206,2026-03-13,Anak Yatim,20000,DANA,Ya,Email,Sosial,Ya
D0207,2026-05-19,Bantuan Sosial,25000,Transfer Bank,Ya,Teman/Keluarga,Kepedulian Lingkungan,Ya
D0208,2026-04-29,Bencana Alam,150000,GoPay,Ya,WhatsApp,Bencana,Tidak
D0209,2026-04-30,Rumah Ibadah,250000,Transfer Bank,Tidak,Teman/Keluarga,Pendidikan,Ya
D0210,2026-04-20,Panti Asuhan,200000,GoPay,Tidak,Website,Bencana,Tidak
D0211,2026-03-24,Rumah Ibadah,500000,Transfer Bank,Tidak,Instagram,Kepedulian Lingkungan,Tidak
D0212,2026-04-20,Pendidikan,250000,QRIS,Tidak,Instagram,Keagamaan,Tidak
D0213,2026-04-30,Kesehatan,150000,QRIS,Ya,Teman/Keluarga,Pendidikan,Tidak
D0214,2026-03-07,Bantuan Sosial,10000,OVO,Tidak,Facebook,Pendidikan,Ya
D0215,2026-04-20,Rumah Ibadah,10000,GoPay,Ya,Teman/Keluarga,Kepedulian Lingkungan,Tidak
D0216,2026-03-22,Kesehatan,10000,GoPay,Tidak,Email,Keagamaan,Tidak
D0217,2026-04-30,Bencana Alam,20000,QRIS,Tidak,Facebook,Keagamaan,Tidak
D0218,2026-03-18,Anak Yatim,50000,GoPay,Ya,Instagram,Keagamaan,Tidak
D0219,2026-05-24,Panti Asuhan,20000,QRIS,Tidak,Website,Bencana,Ya
D0220,2026-05-23,Rumah Ibadah,25000,GoPay,Tidak,Instagram,Bencana,Tidak
D0221,2026-04-03,Bantuan Sosial,25000,ShopeePay,Ya,Website,Sosial,Ya
D0222,2026-05-10,Bencana Alam,150000,OVO,Ya,Email,Pendidikan,Tidak
D0223,2026-04-05,Bencana Alam,100000,QRIS,Tidak,Facebook,Kepedulian Lingkungan,Ya
D0224,2026-05-17,Lingkungan,25000,QRIS,Tidak,Website,Sosial,Ya
D0225,2026-05-30,Panti Asuhan,200000,ShopeePay,Ya,Teman/Keluarga,Keagamaan,Ya
D0226,2026-05-01,Bencana Alam,75000,Transfer Bank,Ya,Teman/Keluarga,Keagamaan,Ya
D0227,2026-04-13,Anak Yatim,250000,OVO,Tidak,TikTok,Kemanusiaan,Ya
D0228,2026-04-09,Lingkungan,10000,ShopeePay,Tidak,TikTok,Kemanusiaan,Tidak
D0229,2026-04-28,Bantuan Sosial,200000,OVO,Tidak,Facebook,Pendidikan,Tidak
D0230,2026-04-20,Anak Yatim,20000,ShopeePay,Tidak,Instagram,Pendidikan,Ya
D0231,2026-05-12,Anak Yatim,100000,QRIS,Ya,TikTok,Kepedulian Lingkungan,Tidak
D0232,2026-04-12,Panti Asuhan,500000,ShopeePay,Tidak,Facebook,Kepedulian Lingkungan,Tidak
D0233,2026-04-17,Panti Asuhan,10000,ShopeePay,Tidak,Website,Pendidikan,Tidak
D0234,2026-05-24,Bencana Alam,20000,ShopeePay,Tidak,TikTok,Bencana,Ya
D0235,2026-03-07,Kesehatan,500000,ShopeePay,Tidak,Instagram,Keagamaan,Ya
D0236,2026-04-03,Lingkungan,100000,OVO,Ya,Website,Keagamaan,Tidak
D0237,2026-04-20,Lingkungan,200000,QRIS,Ya,Website,Sosial,Tidak
D0238,2026-04-13,Anak Yatim,50000,QRIS,Ya,Email,Keagamaan,Tidak
D0239,2026-05-09,Bantuan Sosial,250000,QRIS,Tidak,Teman/Keluarga,Sosial,Tidak
D0240,2026-03-31,Anak Yatim,200000,Transfer Bank,Ya,Facebook,Kemanusiaan,Tidak
D0241,2026-03-26,Panti Asuhan,20000,ShopeePay,Tidak,Email,Sosial,Ya
D0242,2026-05-13,Anak Yatim,75000,Transfer Bank,Ya,Teman/Keluarga,Sosial,Ya
D0243,2026-03-19,Rumah Ibadah,25000,Transfer Bank,Tidak,Instagram,Sosial,Tidak
D0244,2026-05-02,Kesehatan,500000,QRIS,Ya,TikTok,Pendidikan,Tidak
D0245,2026-05-10,Bantuan Sosial,150000,DANA,Ya,Facebook,Sosial,Ya
D0246,2026-04-30,Panti Asuhan,250000,GoPay,Ya,Teman/Keluarga,Bencana,Ya
D0247,2026-03-20,Bantuan Sosial,250000,QRIS,Ya,Website,Keagamaan,Tidak
D0248,2026-03-25,Kesehatan,100000,ShopeePay,Ya,TikTok,Bencana,Tidak
D0249,2026-03-14,Anak Yatim,50000,ShopeePay,Tidak,Facebook,Kepedulian Lingkungan,Tidak
D0250,2026-05-21,Pendidikan,250000,ShopeePay,Ya,Website,Bencana,Ya
D0251,2026-03-25,Lingkungan,500000,QRIS,Ya,Instagram,Kemanusiaan,Tidak
D0252,2026-05-26,Rumah Ibadah,500000,OVO,Ya,WhatsApp,Kepedulian Lingkungan,Tidak
D0253,2026-05-25,Anak Yatim,200000,Transfer Bank,Tidak,TikTok,Pendidikan,Ya
D0254,2026-05-31,Bencana Alam,25000,OVO,Tidak,WhatsApp,Pendidikan,Ya
D0255,2026-04-16,Kesehatan,100000,ShopeePay,Tidak,Email,Sosial,Tidak
D0256,2026-03-20,Lingkungan,250000,DANA,Ya,TikTok,Keagamaan,Tidak
D0257,2026-03-19,Anak Yatim,200000,Transfer Bank,Ya,Instagram,Kemanusiaan,Tidak
D0258,2026-04-22,Bantuan Sosial,50000,Transfer Bank,Tidak,Website,Kepedulian Lingkungan,Tidak
D0259,2026-03-28,Kesehatan,200000,DANA,Tidak,WhatsApp,Sosial,Tidak
D0260,2026-03-06,Pendidikan,150000,DANA,Tidak,Facebook,Keagamaan,Tidak
D0261,2026-03-10,Bencana Alam,75000,OVO,Tidak,TikTok,Bencana,Ya
D0262,2026-03-17,Bantuan Sosial,25000,GoPay,Tidak,Teman/Keluarga,Pendidikan,Tidak
D0263,2026-03-09,Bantuan Sosial,10000,DANA,Ya,TikTok,Bencana,Tidak
D0264,2026-03-13,Bantuan Sosial,250000,OVO,Tidak,Teman/Keluarga,Bencana,Ya
D0265,2026-03-20,Pendidikan,150000,GoPay,Tidak,Website,Sosial,Ya
D0266,2026-03-29,Bantuan Sosial,250000,QRIS,Ya,Instagram,Keagamaan,Tidak
D0267,2026-05-03,Panti Asuhan,25000,DANA,Ya,TikTok,Bencana,Tidak
D0268,2026-03-24,Bantuan Sosial,500000,ShopeePay,Tidak,Website,Sosial,Tidak
D0269,2026-06-02,Anak Yatim,200000,QRIS,Tidak,TikTok,Kepedulian Lingkungan,Ya
D0270,2026-04-26,Anak Yatim,10000,DANA,Tidak,TikTok,Kepedulian Lingkungan,Ya
D0271,2026-03-10,Panti Asuhan,25000,DANA,Tidak,Facebook,Kepedulian Lingkungan,Ya
D0272,2026-03-08,Pendidikan,50000,QRIS,Tidak,TikTok,Pendidikan,Ya
D0273,2026-04-25,Rumah Ibadah,150000,DANA,Tidak,Teman/Keluarga,Kepedulian Lingkungan,Ya
D0274,2026-06-02,Kesehatan,250000,Transfer Bank,Tidak,Email,Pendidikan,Tidak
D0275,2026-04-13,Kesehatan,200000,DANA,Tidak,Website,Sosial,Tidak
D0276,2026-05-21,Panti Asuhan,50000,Transfer Bank,Tidak,Website,Sosial,Ya
